Texto,Clasificacion
"Yo siempre les hablaba de que cuando llegamos al gobierno el presupuesto del 2018 en Presidencia de la República ascendió a tres mil 600 millones de pesos, ahí está en la cuenta pública, lo pueden constatar, y este año apenas vamos a llegar —o el año del 22, porque ya se cerró— a 500 millones, de tres mil 600 a 500. Ya podrían hasta hacerse las cuentas de gastos de viáticos de Presidencia con los otros poderes o con los organismos autónomos y se van a encontrar cosas muy importantes.",economia
"Entonces, en lo económico bien, en lo social mucho mejor. Aquí estamos viendo cómo estamos garantizando el compromiso de aumentar 25 por ciento la pensión a adultos mayores, y como nunca se está incrementando el presupuesto para el bienestar del pueblo, sobre todo de la gente humilde este año.",economia
"Entonces, todo eso son empleos, trabajo. Por eso hablo que en lo económico bien, en lo social bien, en lo político lo mismo. Porque si se atiende al pueblo, si no hay autoritarismo, si no hay corrupción, si no se violan los derechos humanos, pues no se tienen porque presentar problemas.",economia
"Claro, nuestros adversarios tienen otros propósitos para el 2023, como los tuvieron para el 2022, como los tuvieron para el 2021. Decían que —como no me cae bien el dictador y además ya falleció— decían los opositores a la dictadura de ese país y a ese dictador, que estaban aquí en México, se reunían y le hacían así en la mesa, ‘este año cae’, y se les fue enchuecando el dedo. Yo ya lo tengo chueco. Pero así están nuestros adversarios.",competencia
"Este año, ¿se acuerdan de Aguilar Camín, que les dio el consejo, la receta?: ‘Vamos a ganarles el Congreso y si les ganamos el Congreso los paramos y después de ganar el Congreso le vamos a ganar la revocación del mandato y se va a tener que ir a Palenque’. Así de enfático.",competencia
"‘Y luego vienen las gubernaturas, les vamos a ganar la mayoría de las gubernaturas’. Se les enchuecó un poquito más el dedo.",competencia
"Pero, ¿quieren conocer cuál es su pronóstico —que a mí me ayuda, para saber a ver qué están pensando— de los conservadores corruptos?",competencia
"Ayer estaba yo viendo, a ver si lo consiguen, un mensaje de Claudio X. González, y ahí está su pronóstico en contra nuestra. Nada más para que la gente lo conozca porque, si no, se queda sólo en el círculo rojo. Y ahí sí, ahí sí le creen, lamentablemente.",competencia
"Ayer venía yo en el avión de regreso y un señor se paró con su teléfono y dice: ‘Tengo unas cosas que decirle. ¿No se enoja?’ No, no, no, para nada, para nada, para nada. Dice: ‘Lo hago con respeto’. Sí, cómo no, le escucho.",competencia
Y entonces: ‘¿Por qué está destruyendo el país? ¿Usted sabe que es uno de los gobiernos más corruptos que ha habido en México? ¿Por qué quería o quiere destruir el INE? ¿Por qué las empresas están cerrando y no tienen empleo los trabajadores?’,competencia
"Y me dice: ‘Se lo digo con respeto’. ¿Qué me puede usted decir? ¿Qué me contesta?, porque tengo otras cosas’. Le digo: No, ya con eso tengo. Le digo: Mira, lo que te puedo decir es que entre nosotros no nos vamos a poder entender porque somos distintos, y yo te respeto. Y qué bien que me planteas esto, también con respeto, pero no nos vamos a poder entender.",competencia
"Me hablaste del bien común, le digo. Busca el origen del término, cómo se aplica en México. Y para qué te respondo, mejor sigue tu camino, ya no es posible que tu cambies ni yo voy a cambiar mi manera de pensar. Y lo único que me faltó fue decirle: Si tienes hijos, pues sí les daría yo tiempo para explicarle cosas a tus hijos.",competencia
"Y sí le dije a la gente humilde, a la gente que le cuesta más trabajo obtener información, les dedico mucho tiempo, pero ya en tu caso para qué pierdo el tiempo, mejor vamos a respetarnos, no nos vamos a entender, son dos pensamientos completamente distintos.",competencia
"Que como si hubiesen dado cuenta los del avión, cuando ya aterrizamos, un aplauso. Claro, venía yo de mi estado, no fue una encuesta tan objetiva, estaba un poco, no cuchareada, sino jicareada.",opinion
"‘Los estragos del más gobierno de Morena se hacen más evidentes’. Eso es lo que él apuesta, a que los estragos, todo el mal que ha hecho el gobierno se haga más evidente. Pues esto va a servir porque ya está anunciando que va a arreciar la guerra sucia, ¿no?",competencia
"‘Y las divisiones a su interior más marcadas’, o sea, apostando a que va a haber ruptura, también seguramente ya tienen un plan sobre eso.",competencia
"‘La unión de Va por México ―o sea, la que él encabeza― se consolida ―eso es lo que él desea― con triunfos en el Estado de México y en Coahuila’. Así como decía Aguilar: ‘Vamos a ganarles la mayoría en el Congreso y luego les ganamos la revocación del mandato’.",competencia
"‘Tres, la sociedad marca pauta’ —la sociedad. A ver, politólogos, sociólogos, ¿qué es la sociedad?, ¿qué no es pueblo? Es la sociedad.",competencia
"‘Marca pauta’. Porque la sociedad somos todos, desde el punto de vista conceptual somos todos, pobres, ricos, somos sociedad, pero aquí la sociedad tiene que ver con la élite. Porque si se usara, por ejemplo, ‘la ciudadanía’, es más igualitario, porque el ciudadano es todo aquel que después de 18 años tiene derechos y tiene obligaciones, de acuerdo a la Constitución, somos todos los mexicanos, pero ‘la sociedad’, la connotación, es elitista; aunque desde el punto de vista teórico la sociedad somos también todos, pero la connotación para un conservador es que la sociedad es una élite.",competencia
"Entonces, dice: ‘En la sociedad marca pauta —la élite, léase— en el método de selección de candidato o candidata opositor a la Presidencia’.",competencia
"Lo veo con mucho optimismo, nos va a ir muy bien. En lo económico vamos a seguir mejorando las condiciones de vida y de trabajo de la mayoría de los mexicanos.",economia
"Vamos a seguir garantizando la paz, la tranquilidad, que vaya bajando, disminuyendo la incidencia delictiva.",seguridad
"Y en la parte política, que sigamos avanzando en la revolución de las consciencias, en la politización, que no es polarización, para defender el proyecto de transformación y que nunca más regrese una forma de gobierno autoritaria y corrupta. Eso en lo político.",competencia
Y lograr todo esto por la vía democrática y con el respeto absoluto a las libertades.,competencia
" Bueno, que estamos muy contentos con la llegada del presidente Lula. Fue pues todo un acontecimiento porque es el regreso de un proyecto popular no oligárquico. Y el presidente Lula enfrentó una envestida muy fuerte, que lo llevó injustamente a la cárcel, y él resistió y salió de prisión para volver a gobernar Brasil.",exterior
"Lo logró, como él mismo lo expresó ayer, a pesar de que utilizaron muchísimo dinero público y privado para evitar que triunfara, y lo logró con el apoyo del pueblo de Brasil. Por eso es válida la frase de Ricardo Flores Magón, que sólo el pueblo puede salvar al pueblo, y también la frase del patricio oaxaqueño, paisano de Ricardo Flores Magón, de que sólo el pueblo puede salvar al pueblo. ‘Con el pueblo, todo; sin el pueblo nada’, decía Benito Juárez.",exterior
"Entonces, nos dio mucho gusto, me representó Beatriz, porque hay una relación de amistad. Me informó de que el presidente Lula le comentó que quiere venir, que va a venir pronto, que tiene muchos deseos de estar en nuestro país, y que ella le transmitió que siempre va a ser bienvenido a nuestro país, que el pueblo de Brasil, el pueblo de México son pueblos hermanos, somos hermanos y además ahora con muchas coincidencias con el gobierno de Brasil porque ese gobierno va a luchar por la igualdad, por la justicia, también en situaciones complejas, pero el presidente Lula tiene mucho oficio político, es un hombre muy experimentado. Va a tener una oposición beligerante.",exterior
"Ya desde ayer le pusieron la banda representantes del pueblo de Brasil, yo creo que es más simbólico, mucho más importante, porque el señor Bolsonaro decidió viajar en la víspera a Estados Unidos.",exterior
"Y tampoco para nosotros el señor Bolsonaro significó un adversario, mucho menos un enemigo, sencillamente son proyectos distintos, es un poco lo del avión de ayer con el señor, no es nada personal.",exterior
"Ya les platiqué cómo en la última reunión que tuve en el Consejo de Hombres de… ya no es Hombres de Negocios, es Consejo Mexicano de Negocios, me preguntó Claudio X. González, papá, lo mismo, que si por qué la polarización. Le dije: No hay polarización, es politización. Y le dije con toda claridad que nos habíamos propuesto transformar al país y que no iba a ser posible la transformación si no le dábamos atención preferente a los pobres, que además esa era la razón de ser de nuestro movimiento, eso es lo que tiene que ver con nuestras convicciones, el amor al pueblo y sobre todo el amor a los más necesitados, a los desposeídos, a los humillados.",opinion
"Pero que además los pobres eran leales y que se podía confiar en ellos, no así en los potentados, no así en los medios de comunicación, no así en los intelectuales del régimen, no así en sectores de clases medias aspiracionistas, individualistas.",opinion
"Claro, en todo hay excepciones: en empresarios hay excepciones, empresarios que tienen dimensión social, dimensión cívica, en los periodistas claro que hay excepciones; además es importante diferenciar entre lo que es la élite del periodismo y los periodistas, no sólo incluyendo a quienes hacen las notas, sino a los que trabajan en los talleres, a los fotógrafos, a los camarógrafos. Entonces, sí hay diferencias.",opinion
"Pero, imagínense, si nosotros queremos transformar al país y nos apoyamos en los potentados, es como poner la Iglesia en manos de Lutero. No estoy generalizando, pero, de acuerdo a mi experiencia de muchos años, los pobres son muy leales. Pues ahí está lo que sucedió en Bolivia, ¿quiénes fueron los que recuperaron el movimiento de transformación en ese país? En Brasil, ¿quiénes fueron los que votaron por Lula?",opinion
"Entonces, no hay que andarnos por las ramas, es muy claro: si se le tiene amor al pueblo, si se apoya a todos, si se atiende a todos, si se escucha a todos, si se respeta a todos, pero se le da preferencia a los pobres, no hay nada qué temer, esa es la estrategia.",opinion
"Pero ¿ustedes creen, como era antes, de que atendiendo a los potentados…? Como en la época de Porfirio Díaz y de Limantur, que la Secretaría de Hacienda nada más estaba para recibir a los llamados hombres de negocio, en la Secretaría de Hacienda nunca se recibía a campesinos, ni a obreros, ni a comerciantes pequeños, medianos, ni a pequeños, medianos empresarios, todo era arriba.",opinion
"Entonces, esto ya cambió. Y repito, no es nada personal, no es de odios, es que nosotros consideramos que esa es la forma de tener una sociedad mejor, ahora sí que la aplicación correcta del término del concepto ‘sociedad’, de tener un pueblo mejor, una ciudadanía mejor. Esto nos significa estabilidad.",opinion
"Un régimen corrupto, autoritario, antidemocrático, no dura, es subversivo, eso fue lo que nos dejó como lección el porfiriato.",opinion
"Y también la otra lección es que una democracia sólo puede tener éxito si atiende al pueblo, porque si no se voltea a ver al pueblo y se ayuda al pueblo pues no se cuenta con una base social, que es fundamental para poder transformar.",opinion
"Y el ejemplo de nuestra historia lo tenemos con lo que le hicieron al presidente Madero, un hombre bueno, con una idea sobre la política muy bien enfocada hacia la libertad, pero con poca importancia en lo social, sobre todo en el conflicto agrario, en el problema de la tierra. Él por eso no pudo o no quiso hacer la alianza con los campesinos, con el zapatismo, que era lo que le podía… No fácil, porque estaba complicadísimo el asunto, eran 34 años de dominio porfirista, imagínense cómo estaba enraizado ese régimen que ni la Revolución pudo cambiarlo. Se avanzó, pero en lo político no.",opinion
"Entonces era muy difícil, pero la única posibilidad de enfrentarlos era apoyándose en el pueblo. Entonces, cuando lo dividen, porque hicieron una labor de zapa para que no se uniera con Zapata, y los separan… Es muy triste, por ejemplo, que, en el Plan de Ayala de 1911, Zapata lo que plantea, además del derecho a la tierra, es el desconocimiento del presidente Madero y el reconocimiento de alguien que después, inmediatamente después de su buena labor en el inicio de la Revolución, sobre todo en la batalla de Ciudad Juárez, de Chihuahua, Pascual Orozco, en el documento reconocen a Pascual Orozco los zapatistas como el dirigente, porque ya estaba hecha la labor de separación.",opinion
"No es un asunto personal, también no es un asunto de polarización, no es un asunto de exclusión, no, es que tenemos muchos millones de mexicanos el deseo de lograr una sociedad mejor y para eso se necesitan cambios, transformaciones que no quieren los conservadores. Y hablo del conservador porque es eso, el conservador es el que quiere conservar el régimen, mantener el estatus quo, que nada cambie, conservar fueros, conservar privilegios.",opinion
"Entonces, nosotros lo que queremos es la transformación. Se está avanzando o se va a avanzar más este año, este año va a ser importantísimo porque vamos ya a dejar sentadas las bases de la transformación futura.",opinion
"No me gusta decir que los procesos son irreversibles, no, todo cambia, pero sí vamos a avanzar, mucho, mucho, por el bien de México.",opinion
" Bueno, hablábamos de una transformación que se inicia, hablábamos de sentar las bases, pero una transformación es un proceso, es como una transformación permanente; nosotros avanzamos.",opinion
"También hace un momento mencionaba que el porfiriato significó 34 años de dominio, pero el neoliberalismo o neoporfirismo se llevó 36 años, imagínense, se metió hasta lo más profundo, hasta la médula, pero también —vuelvo a la importancia de nuestras culturas— no pudo con el México profundo, no pudo el neoliberalismo, por eso estamos aquí.",opinion
"Entonces, fue bastante lo que avanzaron en querer que México fuese país de unos cuantos, 36 años con lo mismo, entonces tomaron las instituciones, crearon una república aparente, dedicaron el gobierno a facilitar el saqueo, impulsaron mucho un estilo de vida en donde vale el que tiene, un estilo de vida materialista, individualista, egoísta; se fomentó desde luego el racismo, el clasismo, y se secuestraron a las instituciones.",opinion
"Yo podría decir, con todo respeto y también hay honrosas excepciones, que el Poder Judicial está secuestrado, como estaba secuestrado el Poder Ejecutivo. Entonces, va a ser labor hacia adelante liberar el Poder Judicial, que jueces, que magistrados, que ministros, internalicen lo que es la justicia. Porque parece paradójico o contradictorio, pero no tienen claro o no tienen sentimientos, emoción social, en favor de la justicia.",opinion
"El Poder Judicial se fue eclipsando con el dinero, el poder económico eclipsó casi por completo al Poder Judicial. Entonces, sí hace falta una renovación ahí, profunda.",opinion
"Nosotros no lo hicimos porque teníamos que optar entre inconvenientes, eso es la política, decir: Importa esto, importa esto, lo mismo esto otro, tenemos muchas cosas, cómo priorizamos qué es primero, qué es segundo, qué es tercero, para no fracasar. Es toda una estrategia.",opinion
"Entonces, dijimos: Hagamos la lucha en el Poder Judicial. Ya se los expliqué un día, me planteaban una reforma constitucional como la de Zedillo que llevó a cabo en el Poder Judicial para cambiar ministros; dije: No, eso no porque además no resuelve, el problema viene de abajo hacia arriba, y también de arriba hacia abajo, pero es todo el cuerpo; o sea, son jueces, es una pirámide, luego magistrados en medio y hasta arriba la Suprema Corte de Justicia, los ministros que son 11.",opinion
"Entonces, cómo hacerle si desde los jueces, no todos, pero hay una concepción conservadora que están siempre a favor del cliente, no a favor del pueblo, no a favor del ciudadano, mucho menos a favor del pobre. Cómo hacerle ahí, ni modo que se les despida a todos. Pero aun en ese caso, que sería un acto autoritario, ¿con quién se sustituye, si durante el periodo neoliberal, en las universidades se dejaron de formar abogados y otros profesionales con mística, con principios, con ideales, con amor al pueblo?, ¿con quién se les sustituye? Es un asunto complejo.",opinion
"Yo recuerdo que —se los he comentado— cuando era jefe de gobierno me asomé por la ventana y vi en la plaza que había una manifestación, pero me llamó la atención de que caminaban en la plancha y todos con traje y corbata. Y ya fui observando más y me di cuenta que no sólo era una manifestación de personas con traje, sino que traían alhajas y cadenas, y se veían los relojes de estos de oro y anillos, y me llamó la atención.",opinion
"Entonces, pedí que me investigaran quiénes eran. Pues puro policía judicial que habían despedido y que estaban protestando por eso.",opinion
"Entonces, analicé qué voy a hacer. Tenemos otras cosas: lo principal, acabar con la corrupción; lo principal, ayudar a la gente; lo principal es que se haga consciencia de que, por el bien de todos, primero los pobres. Y así fuimos definiendo las prioridades, que deben de ser como 100 porque también como el gobierno no estaba orientado a servir al pueblo, sino a simular que se representaba al pueblo, porque en realidad lo que era, como ya lo expresé, era un facilitador del saqueo, un comité al servicio de una minoría, pero tenían que hacer la faramalla de que hacían cosas: y el instituto de la transparencia, y el instituto anticorrupción, y el instituto contra el monopolio o los monopolios, y el instituto de las comunicaciones, y la defensa de derechos humanos, y la defensa de las mujeres, y la defensa de los obreros, y la defensa… Todas, organizaciones no gubernamentales. Pero puro cuento, ahí se gastaba mucho presupuesto, en el aparato.",apoyo
"Entonces, decidimos: Bueno, estas son las prioridades, vámonos, que no haya instituto para apoyar a los adultos mayores, sino mejor vamos a destinarles… A ver, pon la lámina de cuánto es el presupuesto para el 2023. La anterior, otra, otra, esta: 339 mil millones para los adultos mayores, casi 340 mil millones, nunca en la historia. Sólo el bimestre, 52 mil millones, es lo que tiene en un año en promedio de presupuesto un estado de la república, y no hay instituto, o sea, todo ese andamiaje que crearon para simular, esto es directo.",apoyo
"Bueno, regresando a lo del Poder Judicial, estaba muy complicado, entonces, a ver, qué hacemos. Ya se los platiqué, que son 11 ministros, me va corresponder proponer a cuatro o cuatro ternas. Si cuido y mando cuatro buenas personas, ya nada más faltarían dos, para que de 11 tengamos seis, porque se va a requerir para la transformación. Tan es así que las leyes que nos aprueban en el Legislativo, los conservadores acuden a la Corte para pedir que se declaren inconstitucionales.",apoyo
"Entonces sí ayuda, por ejemplo, la ley eléctrica, que los conservadores la vetaron para ayudar a Iberdrola, de España, en contra de la Comisión Federal de Electricidad y para que aumentaran las tarifas de luz. Todavía, como se ganó por mayoría simple en la cámara, acudieron al Poder Judicial para declararla inconstitucional.",apoyo
"Entonces, ahí para que se declare inconstitucional una ley se requiere dos terceras partes. Entonces, de los 11 ministros, si se cuenta con cuatro ya con eso se asegura que no declaren inconstitucional una ley. Cuatro no incondicionales, cuatro que defiendan el proyecto de transformación, que no pertenezcan al viejo régimen.",opinion
"Entonces, viene ahora el cambio de presidente. ¿Cómo era antes? Pues el presidente de la República lo nombraba, pero nosotros no tenemos mayoría, ni siquiera aspiramos a eso, a tener dominio de otro poder, porque somos demócratas y queremos que haya un verdadero Estado de derecho, no como sucedía antes, que lo que había era un Estado de chueco, pero eso, es como el señor de avión de ayer, ¿cuándo lo van a entender los del gremio de abogados?, también con honrosas excepciones. Es como lo que natura no da, Salamanca no otorga, o sea, no se puede.",opinion
" Hagan ustedes la investigación, ustedes ya quieren que yo haga todo el trabajo. O sea, cuándo… No, pero cuántos años han pasado, cuántos años han pasado y los medios no dicen nada, y callan.",opinion
"Entonces, como imaginaron que la ministra Yasmín era, en la mentalidad autoritaria que tienen estas personas, la designada por el presidente, pobre abogada Yasmín, toda una guerra de potentados, medios de información, columnistas, intelectuales del régimen, vendidos y alquilados, pero una lanzada en contra de la señora.",opinion
"Ya les expliqué de que nosotros no tenemos posibilidad, ni siquiera nos importa. Va a ser tarea, eso sí, de los que vengan, van a tener que reformar el Poder Judicial, que está muy mal. Ahora se avanzó algo, pero faltan convicciones, faltan ideales, faltan principios.",opinion
" No, no tengo ahí ninguna injerencia de ningún tipo. Si yo fuese como piensan mis adversarios, quedaría quién el presidente decidiera, pero no es así, no somos iguales, no se puede gobernar México sin autoridad moral. Si yo quisiera que quedara un ministro, una ministra, pues a ver, como era antes, en lo oscurito: Le pido el favor que considere la posibilidad…",competencia
"No, prefiero ir a hablar con las comunidades de la Sierra Norte, de la Sierra Juárez, prefiero ir a Sonora, a Yécora, a ver cómo va la ampliación del camino de Chihuahua a Guaymas, prefiero ir con los yaquis. ¿Qué, no es justicia devolverles 30 mil hectáreas a los yaquis? ¿Qué se hace ahí en la Corte, en el Poder Judicial? Si les digo que para defender la industria eléctrica nacional nos cuesta trabajo.",apoyo
"Nos cuesta trabajo que se considere a los factureros como delincuentes, porque ahí está la macolla arriba, pero eso no significa que el país está en manos del conservadurismo y de Claudio X. González, y de Héctor Aguilar Camín, y de Krauze, aunque diga que no quiere polemizar conmigo; yo tampoco, no es un asunto personal, lo que pasa es que durante mucho tiempo callaron, y no es porque les falta inteligencia, sino porque son muy conservadores y acomodaticios.",opinion
"Entonces, hay que esperar lo que decidan libremente los ministros. Y también institucionalmente, porque ni modo que vamos a declararle la guerra al Poder Judicial, institucionalmente el que quede será reconocido, porque somos autónomos, somos independientes y tiene que haber colaboración, porque por encima de todo está el pueblo de México, y adelante.",opinion
"Hay cuestiones muy importantes como, por ejemplo, el que sigamos combatiendo la inseguridad, la violencia, lo que le importa a la gente, que siga mejorando el ingreso, que haya empleos, que se controle la inflación, esos son los temas, lo demás no es tan importante.",seguridad
"Ah, y el tema de la transformación, el que nunca más regresen los corruptos, la gente lo está viendo así. Porque ellos están pensando que pueden regresar, aquí están los deseos de Claudio, pero no. Además, fíjense, qué desfigure, qué falta de respeto de las formas. ¿Dónde están los partidos? Él suplanta a los partidos. De acuerdo a la Constitución, los partidos son entidades de interés público, y un representante del sector privado ya decide sobre los partidos. A lo mejor hoy le va a responder el del PRI o el del PAN que ellos no son peleles, que no son títeres, que no son floreros, que no están de adorno.",competencia
" Ya no voy a opinar sobre eso, lo que sí es que recomendaría desde ahora que se tenga comunicación con la gente, lo más abierto posible y de manera directa, porque si no el gobernante queda atrapado por los medios de información, lo cercan, y hay que brincar el cerco y hay que estarle informándole de manera directa a la gente.",opinion
"Cuando nosotros triunfamos fue porque teníamos comunicación con la gente, no teníamos el apoyo de los medios convencionales. Pero llegamos a entregar 10 millones de ejemplares del periódico Regeneración, era el medio más visto en el país. O sea, la información es poder; también que se entienda que el poder sólo es puro y se convierte en virtud cuando se pone al servicio de los demás, pero información es poder.",opinion
"Si se dedican a fabricar vehículos, si se dedican a tener bancos, si son banqueros, tienen también medios de información, porque el medio de información lo usan para extorsionar a los gobiernos.",opinion
"Si ustedes hacen un análisis económico sobre lo que deja una empresa de información como tal, puede ser que pierdan, pero como no es esa empresa, sino es un consorcio y esa empresa juega un papel, entonces pueden perder en esa empresa, pero ganan en todas las demás y ganan muchísimo.",economia
"Entonces, para que la autoridad no esté sometida, chantajeada por esos corporativos, se requiere tener información directa.",opinion
"Además, hay que garantizarle al pueblo el derecho a la información, puede ser que no sea mañanera, que sea al mediodía, en la tarde, que se tome, ¿cómo se llama?, un video diario o dos veces al día, pero que se esté informando.",opinion
"Y yo para ese entonces voy estar allá escribiendo mi libro sobre el pensamiento conservador, que me va a llevar como cinco años terminarlo, de tres a cinco años, ya para entonces. Porque ya voy a terminar mi ciclo y ya dije que ni a los familiares ni a mis hijos… Que me lleguen a visitar, sí, pero va a estar ahí el letrerito: ‘Nada de política’, porque si no, imagínense.",opinion
"A veces me dan ganas de ponerle Fin, pero lo estoy pensando. Pero ya tengo la idea de cómo lo voy articulando. Ya va a ser mi legado político y ya lo demás que escriba… Porque sí, no voy a dejar de escribir porque, si no, no podría salir adelante. Pero sí va a ser más académico, más teórico y para publicar cada tres años, cada cinco años. Pero sí van a tener muchas tareas.",competencia
